news_cast,headline,link,category
W Radio,¿Es afectado o aún tiene tiquetes de Viva Air? Paso a paso para que Avianca le responda,https://www.wradio.com.co/2023/08/17/es-afectado-o-aun-tiene-tiquetes-de-viva-air-paso-a-paso-para-que-avianca-le-responda/,Noticias destacadas
CNN,Se termina el tiempo para reclamar a Facebook parte de los US$ 725 millones de un acuerdo de privacidad de datos,https://cnnespanol.cnn.com/2023/08/17/reclamar-us-725-millones-acuerdo-facebook-privacidad-datos-cambridge-analytica-trax/,Noticias destacadas
El Colombiano,"“La gasolina llegará a precio internacional en tres meses, pero el diésel lo hará en 2025”: ministro Bonilla",https://www.elcolombiano.com/negocios/precio-de-la-gasolina-subira-otros-tres-meses-y-luego-subira-el-precio-del-diesel-CH22165205,Noticias destacadas
Semana.com,Atención: Ecopetrol anunció la salida de cuatro vicepresidentes. ¿Crisis dentro de la empresa?,https://www.semana.com/economia/empresas/articulo/atencion-ecopetrol-anuncio-la-salida-de-cuatro-vicepresidentes-crisis-dentro-de-la-empresa/202343/,Noticias destacadas
Semana,"Dólar hoy en Colombia en casas de cambio: así se vende este jueves, 17 de agosto de 2023",https://www.semana.com/economia/macroeconomia/articulo/dolar-hoy-en-colombia-en-casas-de-cambio-asi-se-vende-este-jueves-17-de-agosto-de-2023/202325/,Noticias destacadas
Semana.com,"Puestazos que lanzó Sura, Banco Agrario y Zentria con sueldos entre 4 y 7 millones: buscan coordinadores, asesores y analistas",https://www.semana.com/finanzas/articulo/puestazos-que-lanzo-sura-banco-agrario-y-zentria-con-sueldos-entre-4-y-7-millones-buscan-coordinadores-asesores-y-analistas/202354/,Noticias destacadas
Semana,¿Quiere hablar con su gato? esta aplicación es capaz de traducir los maullidos de su mascota,https://www.semana.com/tecnologia/articulo/quiere-hablar-con-su-gato-esta-aplicacion-es-capaz-de-traducir-los-maullidos-de-su-mascota/202352/,Noticias destacadas
Portafolio,Juan Valdez crea 2 nuevas bebidas con ayuda de inteligencia artificial,https://www.portafolio.co/negocios/empresas/juan-valdez-crea-sus-primera-bebidas-con-inteligencia-artificial-587490,Noticias destacadas
El Colombiano,"Evergrande, el segundo desarrollador inmobiliario más grande de China, se declaró en bancarrota",https://www.elcolombiano.com/negocios/evergrande-el-segundo-desarrollador-inmobiliario-mas-grande-de-china-se-declaro-en-bancarrota-MG22172592,Noticias destacadas
CNN,ANÁLISIS | ¿Qué ven Michael Burry y Warren Buffett en la economía que los demás no vemos?,https://cnnespanol.cnn.com/2023/08/16/analisis-michael-burry-warren-buffett-economia-trax/,Mercado local
Portafolio,Wall Street encadena su tercera jornada consecutiva en rojo,https://www.portafolio.co/economia/finanzas/wall-street-encadena-su-tercera-jornada-consecutiva-en-rojo-587524,Mercado local
Estrategias de Inversión,¿El S&P 500 sufrirá una recesión similar a la de las puntocom?,https://www.estrategiasdeinversion.com/actualidad/noticias/bolsa-eeuu/el-sp-500-sufrira-una-recesion-similar-a-la-de-n-640859,Mercado local
LaRepublica.co,"Índices de Wall Street operan mixtos, mercados esperan minutas de la Fed",https://www.larepublica.co/globoeconomia/indices-de-wall-street-operan-mixtos-mercados-esperan-minutas-de-la-reserva-federal-3681388,Mercado local
Dólar Hoy,El economista David Rosenberg alerta que el S&P 500 está enormemente sobrevalorado | Dolarhoy.com,https://dolarhoy.com/nota/el-economista-david-rosenberg-alerta-que-el-s-p-500-esta-enormemente-sobrevalorado-202381711500,Mercado local
El Economista,Wall Street cierra con pérdidas tras minutas de la Fed; tecnológicas caen,https://www.eleconomista.com.mx/mercados/Wall-Street-cierra-con-perdidas-tras-minutas-de-la-Fed-tecnologicas-caen-20230816-0056.html,Mercado local
Bitfinanzas,5 acciones para vender y otras 6 para comprar en agosto de 2023,https://bitfinanzas.com/5-acciones-para-vender-y-otras-6-para-comprar-en-agosto-de-2023/,Mercado local
El Cronista,Dow Jones: a cuánto cerró el índice industrial en Wall Street hoy miércoles 16 de agosto,https://www.cronista.com/espana/ibex-euro/dow-jones-a-cuanto-cerro-el-indice-industrial-en-wall-street-hoy-miercoles-16-de-agosto/,Mercado local
Investing.com,S&P 500 pone a prueba soporte; Nasdaq debajo y Russell 2000 al frente: ¿Qué sigue? | investing.com,https://es.investing.com/analysis/sp-500-pone-a-prueba-soporte-nasdaq-debajo-y-russell-2000-al-frente-que-sigue-200464236,Mercado local
El Mundo,La 'reina' de las piscinas se dispara un 50% en Bolsa en pleno 'chapuzón' veraniego,https://www.elmundo.es/economia/empresas/2023/08/18/64de28d8fdddff19958b45bf.html,Mercados mundiales
elEconomista.es,La crisis en China sigue candente y deja a Europa a un 2% de sus soportes,https://www.eleconomista.es/mercados-cotizaciones/noticias/12408073/08/23/la-crisis-china-sigue-candente-y-deja-a-europa-a-un-2-de-sus-soportes.html,Mercados mundiales
