stock_abreviation,names,price,before_price_compare,percentage,category
ÍNDICE,S&P 500,"4,369.71",-0.65,Disminuyó un 0.015 %,Índices de mercado
ÍNDICE,Promedio Industrial Dow Jones,"34,500.66",+25.83,Aumentó un 0.075 %,Índices de mercado
ÍNDICE,Nasdaq Composite,"13,290.78",-26.16,Disminuyó un 0.20 %,Índices de mercado
ÍNDICE,Índice Russell 2000,"1,859.42",+9.36,Aumentó un 0.51 %,Índices de mercado
ÍNDICE,S&P/TSX Composite Index,"19,818.39",+6.16,Aumentó un 0.031 %,Índices de mercado
ÍNDICE,Índice Bovespa,"115,408.52",+426.23,Aumentó un 0.37 %,Índices de mercado
ÍNDICE,DAX,"15,574.26",-102.64,Disminuyó un 0.65 %,Índices de mercado
ÍNDICE,FTSE 100,"7,262.43",-47.78,Disminuyó un 0.65 %,Índices de mercado
ÍNDICE,CAC 40,"7,164.11",-27.63,Disminuyó un 0.38 %,Índices de mercado
ÍNDICE,IBEX 35,"9,260.30",-17.70,Disminuyó un 0.19 %,Índices de mercado
ÍNDICE,EURO STOXX 50,"4,212.95",-14.88,Disminuyó un 0.35 %,Índices de mercado
ÍNDICE,S&P EURO,"1,863.82",-7.64,Disminuyó un 0.41 %,Índices de mercado
ÍNDICE,Nikkei 225,"31,450.76",-175.24,Disminuyó un 0.55 %,Índices de mercado
ÍNDICE,SSE Composite Index,"3,131.95",-31.79,Disminuyó un 1.00 %,Índices de mercado
ÍNDICE,Hang Seng Index,"17,950.85",-375.78,Disminuyó un 2.05 %,Índices de mercado
ÍNDICE,BSE Sensex,"64,948.66",-202.36,Disminuyó un 0.31 %,Índices de mercado
ÍNDICE,NIFTY 50,"19,310.15",-55.10,Disminuyó un 0.28 %,Índices de mercado
ÍNDICE,S&P Asia 50,"4,384.19",-58.24,Disminuyó un 1.31 %,Índices de mercado
TSLA,Tesla Motors,$215.49,-$3.73,Disminuyó un 1.70 %,Con más actividad
KVUE,Kenvue Inc,$22.87,+$0.090,Aumentó un 0.40 %,Con más actividad
PLTR,Palantir Technologies,$14.40,+$0.25,Aumentó un 1.77 %,Con más actividad
NIO,Nio Inc - ADR,$10.67,-$0.83,Disminuyó un 7.22 %,Con más actividad
MPW,Medical Properties Trust Inc,$6.93,-$0.57,Disminuyó un 7.60 %,Con más actividad
QQQ,Invesco QQQ Trust Series 1,$358.13,-$0.45,Disminuyó un 0.13 %,Con más actividad
AAPL,Apple,$174.49,+$0.49,Aumentó un 0.28 %,Con más actividad
AMD,Advanced Micro Devices,$105.45,+$1.01,Aumentó un 0.97 %,Con más actividad
NVDA,NVIDIA,$432.99,-$0.45,Disminuyó un 0.10 %,Con más actividad
AMC,AMC Entertainment Holdings Inc,$4.09,+$0.050,Aumentó un 1.24 %,Con más actividad
JNJ,Johnson & Johnson,$172.49,-$1.52,Disminuyó un 0.87 %,Con más actividad
AMZN,Amazon,$133.22,-$0.76,Disminuyó un 0.57 %,Con más actividad
F,Ford Motor Company,$11.96,+$0.13,Aumentó un 1.10 %,Con más actividad
META,Meta,$283.25,-$1.84,Disminuyó un 0.65 %,Con más actividad
T,AT&T,$14.05,+$0.040,Aumentó un 0.29 %,Con más actividad
NU,Nu Holdings Ltd,$7.21,+$0.070,Aumentó un 0.98 %,Con más actividad
BAC,Bank of America,$29.11,-$0.17,Disminuyó un 0.58 %,Con más actividad
GOOGL,Alphabet,$127.46,-$2.46,Disminuyó un 1.89 %,Con más actividad
APE,AMC Entertainment Hldg Pref Equity Units Depositary Share Rep 1 100th Int Convertible Prf Shs Series A,$2.27,+$0.080,Aumentó un 3.65 %,Con más actividad
CSCO,Cisco Systems,$55.04,+$0.31,Aumentó un 0.57 %,Con más actividad
DNA,Ginkgo Bioworks Holdings Inc,$1.62,+$0.0100,Aumentó un 0.62 %,Con más actividad
SOFI,"Social Finance, Inc.",$8.22,+$0.11,Aumentó un 1.36 %,Con más actividad
RIVN,Rivian,$20.78,-$0.17,Disminuyó un 0.81 %,Con más actividad
CCL,Carnival Corporation & plc,$15.59,-$0.21,Disminuyó un 1.33 %,Con más actividad
CIG,Companhia Energética de Minas Gerais,$2.37,$0.00,Cambió en un 0.00 %,Con más actividad
MSFT,Microsoft,$316.48,-$0.40,Disminuyó un 0.13 %,Con más actividad
TLT,iShares 20 Plus Year Treasury Bond ETF,$93.77,+$0.33,Aumentó un 0.35 %,Con más actividad
PFE,Pfizer,$36.66,+$0.15,Aumentó un 0.41 %,Con más actividad
INTC,Intel Corporation,$32.75,+$0.17,Aumentó un 0.52 %,Con más actividad
GOOG,Alphabet,$128.11,-$2.35,Disminuyó un 1.80 %,Con más actividad
XPEV,Xpeng Inc - ADR,$14.98,-$0.67,Disminuyó un 4.28 %,Con más actividad
OPEN,Opendoor,$3.16,-$0.100,Disminuyó un 3.07 %,Con más actividad
LCID,Lucid Motors,$6.18,-$0.050,Disminuyó un 0.80 %,Con más actividad
VALE,Vale S.A.,$12.31,-$0.080,Disminuyó un 0.65 %,Con más actividad
VZ,Verizon Communications,$33.18,+$0.12,Aumentó un 0.36 %,Con más actividad
AAL,American Airlines Group,$15.04,-$0.010,Disminuyó un 0.066 %,Con más actividad
SWN,Southwestern Energy Co,$6.50,-$0.060,Disminuyó un 0.91 %,Con más actividad
BABA,Alibaba Group,$88.03,-$2.62,Disminuyó un 2.89 %,Con más actividad
CHK,Chesapeake Energy,$85.93,-$0.32,Disminuyó un 0.37 %,Con más actividad
RIOT,Riot Blockchain,$11.07,-$0.64,Disminuyó un 5.47 %,Con más actividad
KMI,Kinder Morgan,$17.43,+$0.090,Aumentó un 0.52 %,Con más actividad
PYPL,PayPal,$59.42,+$0.82,Aumentó un 1.40 %,Con más actividad
BBD,Bradesco,$3.04,+$0.020,Aumentó un 0.66 %,Con más actividad
CMCSA,Comcast,$45.76,-$0.48,Disminuyó un 1.04 %,Con más actividad
AGNC,AGNC Investment Corp,$9.48,+$0.030,Aumentó un 0.32 %,Con más actividad
UBER,Uber,$44.69,+$0.72,Aumentó un 1.64 %,Con más actividad
JD,JD.com,$33.11,-$1.65,Disminuyó un 4.75 %,Con más actividad
PCG,PG&E Corp,$16.72,+$0.060,Aumentó un 0.36 %,Con más actividad
XOM,ExxonMobil,$110.04,+$1.64,Aumentó un 1.51 %,Con más actividad
JBLU,JetBlue Airways,$6.35,-$0.11,Disminuyó un 1.70 %,Con más actividad
FRHC,Freedom Holding Corp,$87.48,+$17.63,Aumentó un 25.24 %,Al alza
DLB,Dolby,$84.81,+$7.99,Aumentó un 10.40 %,Al alza
BILL,BILL Holdings Inc,$110.97,+$9.41,Aumentó un 9.27 %,Al alza
BLMN,Bloomin' Brands Inc,$27.85,+$2.23,Aumentó un 8.70 %,Al alza
GLOB,Globant,$175.90,+$12.92,Aumentó un 7.93 %,Al alza
CAAP,Corporacion America Airports SA,$14.42,+$1.02,Aumentó un 7.61 %,Al alza
FLNC,Fluence Energy Inc,$22.83,+$1.55,Aumentó un 7.28 %,Al alza
MORF,Morphic Holding Inc,$54.22,+$3.47,Aumentó un 6.84 %,Al alza
ALVO,Alvotech SA,$9.57,+$0.59,Aumentó un 6.57 %,Al alza
GOL,Gol Transportes Aéreos,$3.29,+$0.19,Aumentó un 6.13 %,Al alza
RKLB,Rocket Lab USA Inc,$5.86,+$0.30,Aumentó un 5.40 %,Al alza
NPWR,NET Power Inc,$15.41,+$0.78,Aumentó un 5.33 %,Al alza
CVNA,Carvana,$39.21,+$1.97,Aumentó un 5.29 %,Al alza
XP,XP Inc,$24.88,+$1.25,Aumentó un 5.29 %,Al alza
IOT,Samsara Inc,$24.01,+$1.17,Aumentó un 5.12 %,Al alza
ANF,Abercrombie & Fitch,$43.20,+$2.09,Aumentó un 5.08 %,Al alza
PCVX,Vaxcyte Inc,$49.82,+$2.40,Aumentó un 5.06 %,Al alza
ROST,Ross Stores,$118.72,+$5.66,Aumentó un 5.01 %,Al alza
SVV,Savers Value Village Inc,$25.97,+$1.17,Aumentó un 4.72 %,Al alza
CBD,Companhia Brasileira De Distribuicao,$4.02,+$0.18,Aumentó un 4.69 %,Al alza
AZUL,Azul SA,$9.56,+$0.42,Aumentó un 4.60 %,Al alza
IMVT,Immunovant Inc,$20.48,+$0.89,Aumentó un 4.54 %,Al alza
NVEI,Nuvei Corp,$17.67,+$0.73,Aumentó un 4.31 %,Al alza
LTH,Life Time Group Holdings Inc,$16.75,+$0.69,Aumentó un 4.30 %,Al alza
HASI,Hannon Armstrong Sustnbl Infrstr Cap Inc,$21.03,+$0.86,Aumentó un 4.26 %,Al alza
SFM,Sprouts,$39.12,+$1.59,Aumentó un 4.24 %,Al alza
GH,Guardant Health Inc,$37.01,+$1.46,Aumentó un 4.11 %,Al alza
NS,NuStar Energy L.P.,$16.56,+$0.65,Aumentó un 4.09 %,Al alza
XENE,Xenon Pharmaceuticals Inc,$36.49,+$1.42,Aumentó un 4.05 %,Al alza
